Room Name,Day Name,Hour,Course Name,Instructor,Number of Chairs
12-0.003(ح1),الأحد,8,الحوسبة العلمية(1),يوسف الحمدان,97
12-0.003(ح1),الأحد,9,الحوسبة العلمية(1),يوسف الحمدان,97
12-0.003(ح1),الأحد,10,أساسيات نظم التشغيل(2),الين شعبان,97
12-0.003(ح1),الأحد,11,أساسيات نظم التشغيل(2),الين شعبان,97
12-0.003(ح1),الأحد,12,Empty,,97
12-0.003(ح1),الأحد,13,مبادئ وتقنيات الذكاء الاصطناعي(2),محمد حلواني,97
12-0.003(ح1),الأحد,14,مبادئ وتقنيات الذكاء الاصطناعي(2),محمد حلواني,97
12-0.003(ح1),الأحد,15,Empty,,97
12-0.003(ح1),الأحد,16,أساسيات الخوارزميات(3),خالد الطرميسي,97
12-0.003(ح1),الأحد,17,أساسيات الخوارزميات(3),خالد الطرميسي,97
12-0.003(ح1),الأحد,18,Empty,,97
12-0.003(ح1),الأحد,19,Empty,,97
12-0.003(ح1),الأحد,20,Empty,,97
12-0.003(ح1),الأحد,21,Empty,,97
12-0.003(ح1),الاثنين,8,اساسيات تطوير الويب(2),مازن الشمراني,97
12-0.003(ح1),الاثنين,9,اساسيات تطوير الويب(2),مازن الشمراني,97
12-0.003(ح1),الاثنين,10,برمجة الحاسب الآلي 1(9),سعود العتيبي,97
12-0.003(ح1),الاثنين,11,برمجة الحاسب الآلي 1(9),سعود العتيبي,97
12-0.003(ح1),الاثنين,12,Empty,,97
12-0.003(ح1),الاثنين,13,برمجة الحاسب الآلي 1(8),مهند القدح,97
12-0.003(ح1),الاثنين,14,برمجة الحاسب الآلي 1(8),مهند القدح,97
12-0.003(ح1),الاثنين,15,Empty,,97
12-0.003(ح1),الاثنين,16,برمجة الحاسب الآلي 1(12),بندر الشاوي,97
12-0.003(ح1),الاثنين,17,برمجة الحاسب الآلي 1(12),بندر الشاوي,97
12-0.003(ح1),الاثنين,18,Empty,,97
12-0.003(ح1),الاثنين,19,Empty,,97
12-0.003(ح1),الاثنين,20,Empty,,97
12-0.003(ح1),الاثنين,21,Empty,,97
12-0.003(ح1),الثلاثاء,8,أساسيات الخوارزميات(1),مراد مارس,97
12-0.003(ح1),الثلاثاء,9,أساسيات الخوارزميات(1),مراد مارس,97
12-0.003(ح1),الثلاثاء,10,أساسيات الخوارزميات(2),مراد مارس,97
12-0.003(ح1),الثلاثاء,11,أساسيات الخوارزميات(2),مراد مارس,97
12-0.003(ح1),الثلاثاء,12,Empty,,97
12-0.003(ح1),الثلاثاء,13,التحسين و البرمجة المقيدة(1),فيصل العصيمي,97
12-0.003(ح1),الثلاثاء,14,التحسين و البرمجة المقيدة(1),فيصل العصيمي,97
12-0.003(ح1),الثلاثاء,15,Empty,,97
12-0.003(ح1),الثلاثاء,16,Empty,,97
12-0.003(ح1),الثلاثاء,17,Empty,,97
12-0.003(ح1),الثلاثاء,18,Empty,,97
12-0.003(ح1),الثلاثاء,19,Empty,,97
12-0.003(ح1),الثلاثاء,20,Empty,,97
12-0.003(ح1),الثلاثاء,21,Empty,,97
12-0.003(ح1),الأربعاء,8,Empty,,97
12-0.003(ح1),الأربعاء,9,Empty,,97
12-0.003(ح1),الأربعاء,10,برمجة الحاسب الآلي 1(142),سعود العتيبي,97
12-0.003(ح1),الأربعاء,11,برمجة الحاسب الآلي 1(142),سعود العتيبي,97
12-0.003(ح1),الأربعاء,12,Empty,,97
12-0.003(ح1),الأربعاء,13,برمجة الحاسب الآلي 1(141),مهند القدح,97
12-0.003(ح1),الأربعاء,14,برمجة الحاسب الآلي 1(141),مهند القدح,97
12-0.003(ح1),الأربعاء,15,Empty,,97
12-0.003(ح1),الأربعاء,16,Empty,,97
12-0.003(ح1),الأربعاء,17,Empty,,97
12-0.003(ح1),الأربعاء,18,Empty,,97
12-0.003(ح1),الأربعاء,19,Empty,,97
12-0.003(ح1),الأربعاء,20,Empty,,97
12-0.003(ح1),الأربعاء,21,Empty,,97
12-0.003(ح1),الخميس,8,اساسيات تطوير الويب(2),مازن الشمراني,97
12-0.003(ح1),الخميس,9,Empty,,97
12-0.003(ح1),الخميس,10,مقدمة في الامن السيبراني(3),احمد العقل,97
12-0.003(ح1),الخميس,11,مقدمة في الامن السيبراني(3),احمد العقل,97
12-0.003(ح1),الخميس,12,Empty,,97
12-0.003(ح1),الخميس,13,التحسين و البرمجة المقيدة(1),فيصل العصيمي,97
12-0.003(ح1),الخميس,14,Empty,,97
12-0.003(ح1),الخميس,15,Empty,,97
12-0.003(ح1),الخميس,16,Empty,,97
12-0.003(ح1),الخميس,17,Empty,,97
12-0.003(ح1),الخميس,18,Empty,,97
12-0.003(ح1),الخميس,19,Empty,,97
12-0.003(ح1),الخميس,20,Empty,,97
12-0.003(ح1),الخميس,21,Empty,,97
12-0.009(ح2),الثلاثاء,8,هياكل البيانات(1),رياض الرحيلي,27
12-0.009(ح2),الثلاثاء,9,هياكل البيانات(1),رياض الرحيلي,27
12-0.009(ح2),الثلاثاء,10,Empty,,27
12-0.009(ح2),الثلاثاء,11,Empty,,27
12-0.009(ح2),الثلاثاء,12,Empty,,27
12-0.009(ح2),الثلاثاء,13,Empty,,27
12-0.009(ح2),الثلاثاء,14,Empty,,27
12-0.009(ح2),الثلاثاء,15,Empty,,27
12-0.009(ح2),الثلاثاء,16,Empty,,27
12-0.009(ح2),الثلاثاء,17,Empty,,27
12-0.009(ح2),الثلاثاء,18,Empty,,27
12-0.009(ح2),الثلاثاء,19,Empty,,27
12-0.009(ح2),الثلاثاء,20,Empty,,27
12-0.009(ح2),الثلاثاء,21,Empty,,27
12-0.009(ح2),الأربعاء,8,Empty,,27
12-0.009(ح2),الأربعاء,9,Empty,,27
12-0.009(ح2),الأربعاء,10,مقدمة في علم المعلومات(1),عبدالله المحضار,27
12-0.009(ح2),الأربعاء,11,مقدمة في علم المعلومات(1),عبدالله المحضار,27
12-0.009(ح2),الأربعاء,12,Empty,,27
12-0.009(ح2),الأربعاء,13,أساسيات نظم التشغيل(6),محمد الاهي,27
12-0.009(ح2),الأربعاء,14,أساسيات نظم التشغيل(6),محمد الاهي,27
12-0.009(ح2),الأربعاء,15,Empty,,27
12-0.009(ح2),الأربعاء,16,Empty,,27
12-0.009(ح2),الأربعاء,17,Empty,,27
12-0.009(ح2),الأربعاء,18,Empty,,27
12-0.009(ح2),الأربعاء,19,Empty,,27
12-0.009(ح2),الأربعاء,20,Empty,,27
12-0.009(ح2),الأربعاء,21,Empty,,27
12-0.010(ح3),الأحد,8,Empty,,24
12-0.010(ح3),الأحد,9,Empty,,24
12-0.010(ح3),الأحد,10,Empty,,24
12-0.010(ح3),الأحد,11,Empty,,24
12-0.010(ح3),الأحد,12,Empty,,24
12-0.010(ح3),الأحد,13,Empty,,24
